Date,Close,Open,High,Low,Volume,% Thay đổi
2023-08-02,700000.0,735000.0,735000.0,700000.0,1420.0,-6.67%
2023-08-03,731000.0,731000.0,731000.0,731000.0,100.0,4.43%
2023-08-04,740000.0,741000.0,741000.0,740000.0,310.0,1.23%
2023-08-07,740000.0,741000.0,741000.0,740000.0,720.0,0.00%
2023-08-08,765000.0,749000.0,785000.0,749000.0,4010.0,3.38%
2023-08-09,850000.0,795000.0,850000.0,795000.0,7560.0,11.11%
2023-08-10,940400.0,880000.0,940400.0,880000.0,10510.0,10.64%
2023-08-11,1069900.0,1050000.0,1069900.0,1011000.0,10380.0,13.77%
2023-08-14,1060000.0,1226000.0,1227000.0,1032000.0,5990.0,-0.93%
2023-08-15,1055000.0,1035000.0,1162300.0,1000100.0,2140.0,-0.47%
2023-08-16,1100000.0,1040000.0,1100000.0,1015000.0,2140.0,4.27%
2023-08-17,1061000.0,1052000.0,1080800.0,1052000.0,2020.0,-3.55%
2023-08-18,1099000.0,1099000.0,1100000.0,1070000.0,5940.0,3.58%
2023-08-21,1139000.0,1100000.0,1199000.0,1095000.0,2140.0,3.64%
2023-08-22,1135000.0,1139000.0,1150000.0,1091000.0,2280.0,-0.35%
2023-08-23,1120000.0,1110000.0,1120000.0,1065000.0,4960.0,-1.32%
2023-08-24,1240000.0,1200000.0,1269000.0,1200000.0,5040.0,10.71%
2023-08-25,1241000.0,1279000.0,1279000.0,1241000.0,1750.0,0.08%
2023-08-28,1200000.0,1250000.0,1250000.0,1200000.0,1410.0,-3.30%
2023-08-29,1238000.0,1212000.0,1240000.0,1200000.0,2640.0,3.17%
2023-08-30,1240000.0,1210000.0,1249000.0,1210000.0,1350.0,0.16%
2023-08-31,1249000.0,1276000.0,1276000.0,1233000.0,4150.0,0.73%
2023-09-05,1249000.0,1250000.0,1258000.0,1239000.0,3230.0,0.00%
2023-09-06,1140000.0,1246800.0,1250000.0,1130100.0,4070.0000000000005,-8.73%
2023-09-07,1160000.0,1150000.0,1219900.0,1150000.0,1460.0,1.75%
2023-09-08,1172000.0,1140000.0,1174000.0,1140000.0,3470.0,1.03%
2023-09-11,1140000.0,1160100.0,1179900.0,1060000.0,2820.0,-2.73%
2023-09-12,1149000.0,1121000.0,1149000.0,1121000.0,290.0,0.79%
2023-09-13,1140000.0,1135000.0,1140000.0,1129000.0,3520.0,-0.78%
2023-09-14,1145000.0,1170000.0,1170000.0,1145000.0,520.0,0.44%
2023-09-15,1151000.0,1165000.0,1166000.0,1151000.0,1170.0,0.52%
2023-09-18,1150000.0,1150000.0,1160000.0,1130000.0,1420.0,-0.09%
2023-09-19,1141000.0,1149000.0,1149000.0,1140000.0,610.0,-0.78%
2023-09-20,971900.0,1121000.0,1130000.0,971900.0,8760.0,-14.82%
2023-09-21,907000.0,940000.0,940000.0,833800.0,3110.0,-6.68%
2023-09-22,835000.0,870000.0,899000.0,820000.0,6490.0,-7.94%
2023-09-25,850000.0,897900.0,897900.0,840000.0,1660.0,1.80%
2023-09-26,857700.0,800100.0,859900.0,800100.0,550.0,0.91%
2023-09-27,802100.0,811000.0,811000.0,802100.0,430.0,-6.48%
2023-09-28,808900.0,800100.0,818000.0,790000.0,2780.0,0.85%
2023-09-29,810000.0,808000.0,829900.0,808000.0,330.0,0.14%
2023-10-02,790000.0,809000.0,818900.0,790000.0,3180.0,-2.47%
2023-10-03,782000.0,780000.0,805000.0,780000.0,2230.0,-1.01%
2023-10-04,790000.0,834800.0,834800.0,790000.0,1620.0,1.02%
2023-10-05,801000.0,840000.0,840000.0,801000.0,700.0,1.39%
2023-10-06,809900.0,790000.0,819900.0,790000.0,1160.0,1.11%
2023-10-09,807000.0,800000.0,807900.0,800000.0,840.0,-0.36%
2023-10-10,818500.0,800000.0,819000.0,800000.0,1270.0,1.43%
2023-10-11,816000.0,805000.0,937400.0,805000.0,5550.0,-0.31%
2023-10-12,848800.0,848800.0,848800.0,848800.0,410.0,4.02%
2023-10-13,790000.0,810000.0,828900.0,790000.0,2100.0,-6.93%
2023-10-16,810000.0,810000.0,810000.0,810000.0,660.0,2.53%
2023-10-17,803000.0,780000.0,816000.0,780000.0,700.0,-0.86%
2023-10-18,792000.0,800000.0,819500.0,792000.0,2040.0,-1.37%
2023-10-19,804300.0,804300.0,804300.0,804300.0,450.0,1.55%
2023-10-20,800000.0,805000.0,805000.0,800000.0,460.0,-0.53%
2023-10-23,820000.0,800000.0,820000.0,800000.0,1910.0,2.50%
2023-10-24,802000.0,802000.0,802000.0,802000.0,350.0,-2.20%
2023-10-27,771000.0,780000.0,790000.0,750000.0,1740.0,-3.87%
2023-11-01,804000.0,780000.0,804000.0,768000.0,430.0,4.28%
2023-11-02,800000.0,800000.0,800100.0,800000.0,1980.0,-0.50%
2023-11-03,799000.0,800000.0,800000.0,795000.0,580.0,-0.13%
2023-11-06,790000.0,780000.0,790000.0,780000.0,1450.0,-1.13%
2023-11-07,781000.0,780000.0,790000.0,780000.0,680.0,-1.14%
2023-11-08,780000.0,780000.0,780000.0,780000.0,320.0,-0.13%
2023-11-09,789000.0,785000.0,790000.0,785000.0,680.0,1.15%
2023-11-14,790000.0,790000.0,790000.0,790000.0,160.0,0.13%
2023-11-15,765000.0,780000.0,780000.0,765000.0,610.0,-3.16%
2023-11-16,760000.0,770000.0,770000.0,760000.0,1050.0,-0.65%
2023-11-17,778900.0,778900.0,778900.0,778900.0,200.0,2.49%
2023-11-20,780000.0,779000.0,780000.0,779000.0,420.0,0.14%
2023-11-22,760000.0,762000.0,762000.0,760000.0,380.0,-2.56%
2023-11-23,730000.0,770000.0,770000.0,730000.0,1770.0,-3.95%
2023-11-24,745000.0,745000.0,745000.0,745000.0,340.0,2.05%
2023-11-27,741000.0,750000.0,751000.0,725000.0,970.0,-0.54%
2023-11-28,747500.0,747500.0,747500.0,747500.0,280.0,0.88%
2023-11-29,735000.0,747000.0,747000.0,720000.0,2280.0,-1.67%
2023-11-30,745000.0,730000.0,749000.0,730000.0,4090.0,1.36%
2023-12-01,742700.0,742700.0,742700.0,731000.0,1640.0,-0.31%
2023-12-04,740000.0,742700.0,742700.0,740000.0,490.0,-0.36%
2023-12-05,740000.0,748000.0,748000.0,740000.0,290.0,0.00%
2023-12-06,728100.0,744000.0,744000.0,728000.0,930.0,-1.61%
2023-12-07,702000.0,738000.0,738000.0,700000.0,1990.0,-3.58%
2023-12-08,704900.0,705000.0,710000.0,701100.0,1790.0,0.41%
2023-12-11,700000.0,710000.0,715000.0,690000.0,2000.0,-0.70%
2023-12-12,690000.0,700000.0,700000.0,690000.0,3000.0,-1.43%
2023-12-13,690000.0,690000.0,690000.0,690000.0,140.0,0.00%
2023-12-14,690000.0,690000.0,690000.0,690000.0,350.0,0.00%
2023-12-15,689000.0,690000.0,695000.0,689000.0,2050.0,-0.14%
2023-12-18,700000.0,690000.0,700000.0,690000.0,410.0,1.60%
2023-12-19,690000.0,690000.0,696700.0,690000.0,870.0,-1.43%
2023-12-20,680100.0,690000.0,690800.0,680100.0,650.0,-1.43%
2023-12-21,690000.0,681000.0,699000.0,670000.0,1690.0,1.46%
2023-12-22,680000.0,690000.0,690000.0,680000.0,940.0,-1.45%
2023-12-26,670000.0,685000.0,685000.0,670000.0,950.0,-1.47%
2023-12-27,661000.0,670100.0,670100.0,661000.0,1290.0,-1.34%
2023-12-28,666000.0,670000.0,670000.0,666000.0,600.0,0.76%
2023-12-29,650000.0,666600.0,666600.0,568000.0,5370.0,-2.40%
2024-01-02,669000.0,650000.0,710000.0,650000.0,1970.0,2.92%
2024-01-03,680000.0,669000.0,709000.0,652000.0,4090.0,1.64%
2024-01-04,650000.0,675000.0,675000.0,650000.0,2370.0,-4.41%
2024-01-05,685000.0,700000.0,700000.0,680000.0,2640.0,5.38%
2024-01-08,624000.0,670000.0,670000.0,600000.0,8510.0,-8.91%
